LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,LITRES/CAPITA,Flag Codes,DATE_CORRECTED
BEL,ALCOHOL,TOT,LT_CAP15,A,2014,10.6,,1/1/2014
BEL,ALCOHOL,TOT,LT_CAP15,A,2015,10.4,,1/1/2015
BEL,ALCOHOL,TOT,LT_CAP15,A,2016,9.4,,1/1/2016
BEL,ALCOHOL,TOT,LT_CAP15,A,2017,9.3,,1/1/2017
BEL,ALCOHOL,TOT,LT_CAP15,A,2018,9.2,,1/1/2018
BEL,ALCOHOL,TOT,LT_CAP15,A,2019,9.2,,1/1/2019
CAN,ALCOHOL,TOT,LT_CAP15,A,1960,7,,1/1/1960
CAN,ALCOHOL,TOT,LT_CAP15,A,1961,7.1,,1/1/1961
CAN,ALCOHOL,TOT,LT_CAP15,A,1962,7.3,,1/1/1962
CAN,ALCOHOL,TOT,LT_CAP15,A,1963,7.5,,1/1/1963
CAN,ALCOHOL,TOT,LT_CAP15,A,1964,7.6,,1/1/1964
CAN,ALCOHOL,TOT,LT_CAP15,A,1965,7.8,,1/1/1965
CAN,ALCOHOL,TOT,LT_CAP15,A,1966,8.1,,1/1/1966
CAN,ALCOHOL,TOT,LT_CAP15,A,1967,8.3,,1/1/1967
CAN,ALCOHOL,TOT,LT_CAP15,A,1968,8.3,,1/1/1968
CAN,ALCOHOL,TOT,LT_CAP15,A,1969,8.5,,1/1/1969
CAN,ALCOHOL,TOT,LT_CAP15,A,1970,8.8,,1/1/1970
CAN,ALCOHOL,TOT,LT_CAP15,A,1971,9.4,,1/1/1971
CAN,ALCOHOL,TOT,LT_CAP15,A,1972,9.9,,1/1/1972
CAN,ALCOHOL,TOT,LT_CAP15,A,1973,10.4,,1/1/1973
CAN,ALCOHOL,TOT,LT_CAP15,A,1974,10.8,,1/1/1974
CAN,ALCOHOL,TOT,LT_CAP15,A,1975,10.9,,1/1/1975
CAN,ALCOHOL,TOT,LT_CAP15,A,1976,10.9,,1/1/1976
CAN,ALCOHOL,TOT,LT_CAP15,A,1977,10.9,,1/1/1977
CAN,ALCOHOL,TOT,LT_CAP15,A,1978,10.9,,1/1/1978
CAN,ALCOHOL,TOT,LT_CAP15,A,1979,10.9,,1/1/1979
CAN,ALCOHOL,TOT,LT_CAP15,A,1980,10.7,,1/1/1980
CAN,ALCOHOL,TOT,LT_CAP15,A,1981,10.8,,1/1/1981
CAN,ALCOHOL,TOT,LT_CAP15,A,1982,10.5,,1/1/1982
CAN,ALCOHOL,TOT,LT_CAP15,A,1983,10.2,,1/1/1983
CAN,ALCOHOL,TOT,LT_CAP15,A,1984,9.9,,1/1/1984
CAN,ALCOHOL,TOT,LT_CAP15,A,1985,9.8,,1/1/1985
CAN,ALCOHOL,TOT,LT_CAP15,A,1986,9.6,,1/1/1986
CAN,ALCOHOL,TOT,LT_CAP15,A,1987,9.6,,1/1/1987
CAN,ALCOHOL,TOT,LT_CAP15,A,1988,9.4,,1/1/1988
CAN,ALCOHOL,TOT,LT_CAP15,A,1989,8.8,B,1/1/1989
CAN,ALCOHOL,TOT,LT_CAP15,A,1990,8.5,,1/1/1990
CAN,ALCOHOL,TOT,LT_CAP15,A,1991,8.2,,1/1/1991
CAN,ALCOHOL,TOT,LT_CAP15,A,1992,7.8,,1/1/1992
CAN,ALCOHOL,TOT,LT_CAP15,A,1993,7.5,,1/1/1993
CAN,ALCOHOL,TOT,LT_CAP15,A,1994,7.4,,1/1/1994
CAN,ALCOHOL,TOT,LT_CAP15,A,1995,7.4,,1/1/1995
CAN,ALCOHOL,TOT,LT_CAP15,A,1996,7.4,,1/1/1996
CAN,ALCOHOL,TOT,LT_CAP15,A,1997,7.2,,1/1/1997
CAN,ALCOHOL,TOT,LT_CAP15,A,1998,7.3,,1/1/1998
CAN,ALCOHOL,TOT,LT_CAP15,A,1999,7.5,,1/1/1999
CAN,ALCOHOL,TOT,LT_CAP15,A,2000,7.6,,1/1/2000
CAN,ALCOHOL,TOT,LT_CAP15,A,2001,7.6,,1/1/2001
CAN,ALCOHOL,TOT,LT_CAP15,A,2002,7.7,,1/1/2002
CAN,ALCOHOL,TOT,LT_CAP15,A,2003,7.7,,1/1/2003
CAN,ALCOHOL,TOT,LT_CAP15,A,2004,7.8,,1/1/2004
CAN,ALCOHOL,TOT,LT_CAP15,A,2005,8,B,1/1/2005
CAN,ALCOHOL,TOT,LT_CAP15,A,2006,8.2,,1/1/2006
CAN,ALCOHOL,TOT,LT_CAP15,A,2007,8.4,,1/1/2007
CAN,ALCOHOL,TOT,LT_CAP15,A,2008,8.4,,1/1/2008
